date,open,high,low,close,adj_close,volume,ets,number_date,symb,secteur
2020-03-13,46.92,50.34,42.77,50.34,50.27,1918500,Tommy hilfiger,21,PVH,textile
2020-03-12,53.04,53.04,44.02,44.25,44.19,2822900,Tommy hilfiger,21,PVH,textile
2020-03-11,61.69,61.71,56.35,56.63,56.55,1393100,Tommy hilfiger,21,PVH,textile
2020-03-10,63.86,65.28,60.92,63.59,63.5,1319100,Tommy hilfiger,21,PVH,textile
2020-03-09,63.86,64.6,60.35,61.5,61.41,1518800,Tommy hilfiger,21,PVH,textile
2020-03-06,68,70.57,67.32,69.18,69.08,1371500,Tommy hilfiger,21,PVH,textile
2020-03-05,71.26,71.98,68.96,69.84,69.74,1307600,Tommy hilfiger,21,PVH,textile
2020-03-04,72.59,73.88,71.32,73.79,73.68,1045600,Tommy hilfiger,21,PVH,textile
2020-03-03,74.22,76.5,70.68,71.93,71.83,1167300,Tommy hilfiger,21,PVH,textile
2020-03-02,74.8,75.04,71.93,74.59,74.48,1294300,Tommy hilfiger,21,PVH,textile
2020-02-28,70.3,74.8,70.3,74.11,74,1834300,Tommy hilfiger,21,PVH,textile
2020-02-27,72.04,76.52,70.1,73.06,72.95,1697800,Tommy hilfiger,21,PVH,textile
2020-02-26,77.46,78.26,73.35,74.04,73.93,1389000,Tommy hilfiger,21,PVH,textile
2020-02-25,81.89,82.03,76.46,76.96,76.85,1255600,Tommy hilfiger,21,PVH,textile
2020-02-24,80.4,82.4,79.51,81.23,81.11,1162600,Tommy hilfiger,21,PVH,textile
2020-02-21,85.9,86.08,84.07,84.67,84.55,798000,Tommy hilfiger,21,PVH,textile
2020-02-20,86.01,88.11,86.01,86.88,86.75,812500,Tommy hilfiger,21,PVH,textile
2020-02-19,86.42,86.93,85.86,86.13,86,947100,Tommy hilfiger,21,PVH,textile
2020-02-18,88.05,89.1,85.72,86.35,86.22,1154800,Tommy hilfiger,21,PVH,textile
2020-03-17,42.04,42.26,38.6,41.14,40.89,65500,Uniqlo,22,FRCOY,textile
2020-03-16,43.73,44.34,42.31,44.03,43.77,40400,Uniqlo,22,FRCOY,textile
2020-03-13,45.5,45.5,43.15,45.32,45.05,57600,Uniqlo,22,FRCOY,textile
2020-03-12,43.36,45.3,42.53,44.22,43.96,48100,Uniqlo,22,FRCOY,textile
2020-03-11,49.43,49.47,48.9,49.2,48.91,15200,Uniqlo,22,FRCOY,textile
2020-03-10,49.47,50.61,49.15,49.98,49.68,36600,Uniqlo,22,FRCOY,textile
2020-03-09,49.21,50.75,48.06,50.28,49.98,18400,Uniqlo,22,FRCOY,textile
2020-03-06,51.92,51.92,50.57,51.24,50.93,25000,Uniqlo,22,FRCOY,textile
2020-03-05,51.52,51.86,51.22,51.22,50.91,368800,Uniqlo,22,FRCOY,textile
2020-03-04,50.27,51.09,50.27,50.76,50.46,36700,Uniqlo,22,FRCOY,textile
2020-03-03,50.58,50.85,49.55,50.28,49.98,56300,Uniqlo,22,FRCOY,textile
2020-03-02,48.55,50.43,48.55,50.43,50.13,23800,Uniqlo,22,FRCOY,textile
2020-02-28,48,49.59,47.79,49.57,49.27,24000,Uniqlo,22,FRCOY,textile
2020-02-27,49.48,49.94,49,49,48.71,22700,Uniqlo,22,FRCOY,textile
2020-02-26,50.2,51.03,50.2,50.85,50.32,37200,Uniqlo,22,FRCOY,textile
2020-02-25,51,51,49.92,50.16,49.64,29000,Uniqlo,22,FRCOY,textile
2020-02-24,51,51.5,51,51.16,50.63,22900,Uniqlo,22,FRCOY,textile
2020-02-21,52.59,52.92,52.34,52.68,52.13,7400,Uniqlo,22,FRCOY,textile
2020-02-20,53.43,53.57,53.11,53.37,52.82,11800,Uniqlo,22,FRCOY,textile
2020-02-19,54.29,54.36,54.14,54.2,53.64,25200,Uniqlo,22,FRCOY,textile
2020-02-18,52.78,53.8,52.78,53.54,52.99,13900,Uniqlo,22,FRCOY,textile
2020-03-17,23.18,23.18,20.7,20.9,20.36,7900,Inditex,21,IDEXF,textile
2020-03-16,19.05,19.05,19.05,19.05,18.56,2400,Inditex,21,IDEXF,textile
2020-03-13,22.76,23.57,22.76,23.03,22.43,3000,Inditex,21,IDEXF,textile
2020-03-12,23.13,23.13,21.44,21.44,20.88,3100,Inditex,21,IDEXF,textile
2020-03-11,27.53,27.53,27.53,27.53,26.81,,Inditex,21,IDEXF,textile
2020-03-10,27.67,27.67,27.53,27.53,26.81,4600,Inditex,21,IDEXF,textile
2020-03-09,28.49,28.49,28.05,28.05,27.32,12000,Inditex,21,IDEXF,textile
2020-03-06,30.8,30.8,30.8,30.8,30,,Inditex,21,IDEXF,textile
2020-03-05,31.05,31.05,30.8,30.8,30,500,Inditex,21,IDEXF,textile
2020-03-04,31.36,31.36,31.36,31.36,30.55,300,Inditex,21,IDEXF,textile
2020-03-03,31.09,31.09,31.09,31.09,30.28,7500,Inditex,21,IDEXF,textile
2020-03-02,31.07,31.09,30.74,31.09,30.28,48800,Inditex,21,IDEXF,textile
2020-02-28,30.17,30.17,29.67,30.13,29.35,10800,Inditex,21,IDEXF,textile
2020-02-27,30.9,30.9,30.9,30.9,30.1,,Inditex,21,IDEXF,textile
2020-02-26,31.89,31.89,30.9,30.9,30.1,3300,Inditex,21,IDEXF,textile
2020-02-25,32.21,32.21,32.21,32.21,31.37,,Inditex,21,IDEXF,textile
2020-02-24,32.08,32.21,32.08,32.21,31.37,600,Inditex,21,IDEXF,textile
2020-02-21,34.07,34.07,34.07,34.07,33.19,200,Inditex,21,IDEXF,textile
2020-02-20,34.79,34.79,34.79,34.79,33.89,100,Inditex,21,IDEXF,textile
2020-02-19,34.79,34.79,34.79,34.79,33.89,37900,Inditex,21,IDEXF,textile
2020-02-18,34.04,34.3,34.02,34.3,33.41,9500,Inditex,21,IDEXF,textile
